"","PID","condition_1","Participant.Status","condOrder","Zone.Type","ratings","condition_2"
"31101",5122707,"Empty_Neutral","complete","ESM","response_slider_endValue","10","empty 24 neutral"
"3264",5075757,"Empty_Neutral","complete","ESM","response_slider_endValue","2","empty 72 neutral"
"3368",5075757,"Empty_Neutral","complete","ESM","response_slider_endValue","2","empty 24 neutral"
"3456",5075757,"Empty_Neutral","complete","ESM","response_slider_endValue","-6","empty 8 neutral"
"1501",5241953,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-5","single 72 negative"
"2541",5241953,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-1","single 24 negative"
"3422",5241953,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-3","single 8 negative"
"4481",5228305,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-3","single 24 negative"
"536",5228305,"Trash_Single_Negative","complete","ESM","response_slider_endValue","0","single 8 negative"
"6882",5228305,"Trash_Single_Negative","complete","ESM","response_slider_endValue","1","single 72 negative"
"7781",5190863,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-8","single 8 negative"
"8821",5190863,"Trash_Single_Negative","complete","ESM","response_slider_endValue","6","single 24 negative"
"10342",5190863,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-6","single 72 negative"
"11881",5187657,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-2","single 72 negative"
"1292",5187657,"Trash_Single_Negative","complete","ESM","response_slider_endValue","5","single 24 negative"
"13802",5187657,"Trash_Single_Negative","complete","ESM","response_slider_endValue","2","single 8 negative"
"14862",5181977,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-10","single 24 negative"
"16382",5181977,"Trash_Single_Negative","complete","ESM","response_slider_endValue","2","single 72 negative"
"17262",5181977,"Trash_Single_Negative","complete","ESM","response_slider_endValue","2","single 8 negative"
"18322",5175385,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-3","single 24 negative"
"1984",5175385,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-7","single 72 negative"
"20722",5175385,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-8","single 8 negative"
"2178",5128700,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-5","single 24 negative"
"2266",5128700,"Trash_Single_Negative","complete","ESM","response_slider_endValue","4","single 8 negative"
"24182",5128700,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-6","single 72 negative"
"25242",5122707,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-2","single 24 negative"
"26121",5122707,"Trash_Single_Negative","complete","ESM","response_slider_endValue","4","single 8 negative"
"27642",5122707,"Trash_Single_Negative","complete","ESM","response_slider_endValue","6","single 72 negative"
"28701",5075757,"Trash_Single_Negative","complete","ESM","response_slider_endValue","1","single 24 negative"
"29581",5075757,"Trash_Single_Negative","complete","ESM","response_slider_endValue","2","single 8 negative"
"31102",5075757,"Trash_Single_Negative","complete","ESM","response_slider_endValue","4","single 72 negative"
"32641",5139418,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-8","single 72 negative"
"3352",5139418,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-8","single 8 negative"
"34561",5139418,"Trash_Single_Negative","complete","ESM","response_slider_endValue","-9","single 24 negative"
"1502",5239825,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","4","multiple 72 positive"
"230",5239825,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","-5","noD 0 trial"
"3341",5239825,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","-5","multiple 24 positive"
"4221",5239825,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","-9","multiple 8 positive"
"576",5231885,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","6","multiple 72 positive"
"680",5231885,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","6","multiple 24 positive"
"768",5231885,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","5","multiple 8 positive"
