"","PID","status","counterbalance","blockorderA1","blockorderA2","blockorderB2","blockorderB1","condition_1","Zone.Type","ratings","condition_2"
"9986",8213570,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT","response_slider_endValue","-4","single 216"
"10284",8203523,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT","response_slider_endValue","-5","single 216"
"10356",8203523,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT","response_slider_endValue","1","single 16"
"10430",8186219,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT","response_slider_endValue","0","single 16"
"10726",8186219,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT","response_slider_endValue","-9","single 216"
"2941",8185378,"complete","CounterbalanceA","ABC","ABC",NA,NA,"SingleNT","response_slider_endValue","-8","single 216"
"3662",8185378,"complete","CounterbalanceA","ABC","ABC",NA,NA,"SingleNT","response_slider_endValue","2","single 16"
"6641",8213666,"complete","CounterbalanceA","CAB","CAB",NA,NA,"SingleNT","response_slider_endValue","2","single 216"
"7361",8213666,"complete","CounterbalanceA","CAB","CAB",NA,NA,"SingleNT","response_slider_endValue","7","single 16"
"810",8213635,"complete","CounterbalanceA","BCA","BCA",NA,NA,"SingleNT","response_slider_endValue","5","single 16"
"11061",8213635,"complete","CounterbalanceA","BCA","BCA",NA,NA,"SingleNT","response_slider_endValue","-9","single 216"
"1404",8213551,"complete","CounterbalanceA","ABC","ABC",NA,NA,"SingleNT","response_slider_endValue","-9","single 216"
"14761",8213551,"complete","CounterbalanceA","ABC","ABC",NA,NA,"SingleNT","response_slider_endValue","-3","single 16"
"17741",8211926,"complete","CounterbalanceA","ABC","BCA",NA,NA,"SingleNT","response_slider_endValue","2","single 216"
"18461",8211926,"complete","CounterbalanceA","ABC","BCA",NA,NA,"SingleNT","response_slider_endValue","0","single 16"
"21441",8212009,"complete","CounterbalanceA","BCA","ABC",NA,NA,"SingleNT","response_slider_endValue","1","single 216"
"22161",8212009,"complete","CounterbalanceA","BCA","ABC",NA,NA,"SingleNT","response_slider_endValue","-1","single 16"
"2290",8211906,"complete","CounterbalanceA","BCA","CAB",NA,NA,"SingleNT","response_slider_endValue","0","single 16"
"25861",8211906,"complete","CounterbalanceA","BCA","CAB",NA,NA,"SingleNT","response_slider_endValue","-5","single 216"
"28841",8211903,"complete","CounterbalanceA","CAB","BCA",NA,NA,"SingleNT","response_slider_endValue","10","single 216"
"29561",8211903,"complete","CounterbalanceA","CAB","BCA",NA,NA,"SingleNT","response_slider_endValue","5","single 16"
"3030",8204347,"complete","CounterbalanceA","BCA","ABC",NA,NA,"SingleNT","response_slider_endValue","3","single 16"
"33261",8204347,"complete","CounterbalanceA","BCA","ABC",NA,NA,"SingleNT","response_slider_endValue","-9","single 216"
"3624",8203772,"complete","CounterbalanceA","ABC","CAB",NA,NA,"SingleNT","response_slider_endValue","-5","single 216"
"36961",8203772,"complete","CounterbalanceA","ABC","CAB",NA,NA,"SingleNT","response_slider_endValue","5","single 16"
"39941",8203567,"complete","CounterbalanceA","BCA","BCA",NA,NA,"SingleNT","response_slider_endValue","-2","single 216"
"40661",8203567,"complete","CounterbalanceA","BCA","BCA",NA,NA,"SingleNT","response_slider_endValue","-4","single 16"
"41401",8203378,"complete","CounterbalanceA","ABC","CAB",NA,NA,"SingleNT","response_slider_endValue","-3","single 16"
